Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
603,CTBI,ctbi-batiment.com,France,Construction & Engineering,139.7,33.8,"9,999,881","4,172,736",70,41,2013,https://au.linkedin.com/company/ctbi
183,Cube Design,cubedesign.ba,Bosnia & Herzegovina,Construction & Engineering,502,81.9,3175423,527481,10,6,2014,https://ba.linkedin.com/company/cube-design-sarajevo
966,Deurenspecialist Maree,simonmaree.nl,Netherlands,Construction & Engineering,64.4,18,"5,698,612","3,467,188",11,6,2004,
317,Di Remigio Costruzioni,diremigiocostruzioni.it,Italy,Construction & Engineering,295.2,58.1,"3,348,252","847,212",32,14,2006,https://it.linkedin.com/company/diremigiocostruzionisrl
848,Dip Ascenseurs,dipascenseurs.fr,France,Construction & Engineering,83.7,22.5,"6,697,700","3,646,420",46,26,2009,https://www.linkedin.com/company/dip-ascenseurs-fermetures-et-mobilite
560,Domum-Bau,domum-bau.com,Germany,Construction & Engineering,157.5,37.1,"9,912,024","3,850,034",13,8,2017,
294,ECES,eces.fr,France,Construction & Engineering,316.8,60.9,"3,087,478","740,681",10,5,2014,
9,Eco Simplified,ecosimplified.co.uk,UK,Construction & Engineering,7045.3,315,41981284,579773,15,7,2019,https://uk.linkedin.com/company/eco-simplified
923,Ehlers Garten- und Landschaftsbau,ehlers-gartenbau.de,Germany,Construction & Engineering,71.6,19.7,"2,250,221","1,311,349",42,26,1950,
249,Elk,elk.nl,Netherlands,Construction & Engineering,366,67,273658000,58724177,620,192,2000,https://www.linkedin.com/company/elk-development
713,E-NG,e-ng.de,Germany,Construction & Engineering,108.7,27.8,"8,504,000","4,074,100",5,4,2014,https://www.linkedin.com/company/eng-bauen-recruitment
614,Ets Merat,merat-plomberie-climatisation.fr,France,Construction & Engineering,135.9,33.1,"3,065,227","1,299,361",17,12,1981,https://www.linkedin.com/company/ets-merat/
513,Fenêtres Fermetures Du Doubs,fenetresfermeturesdudoubs.com,France,Construction & Engineering,173.1,39.8,"3,596,788","1,317,104",20,16,2010,https://www.linkedin.com/company/fenetres-fermetures-du-doubs
877,Filva,filvasrl.it,Italy,Construction & Engineering,77.8,21.2,"13,178,965","7,412,391",19,13,2009,https://www.linkedin.com/company/filva/
639,Freundeskreis Gruppe,freundeskreis-gruppe.de,Germany,Construction & Engineering,128.5,31.7,"19,358,000","8,471,000",12,4,2019,
354,Global Commissioning,global-cxm.com,UK,Construction & Engineering,271.4,54.9,"18,821,775","5,001,316",60,28,2019,https://uk.linkedin.com/company/global-commissioning
34,Guerri,guerrigroup.it,Italy,Construction & Engineering,2241.2,186.1,202710650,8658422,77,1,2014,
586,Herold GaLa Bau,heroldgalabau.de,Germany,Construction & Engineering,149,35.5,"21,010,186","8,439,591",140,30,1985,
704,Horizon Technology Group,horizontg.com,Italy,Construction & Engineering,110.1,28.1,"9,342,861","4,447,357",35,18,2014,https://uk.linkedin.com/company/horizonconstruction
735,Hydro Pipe Solutions (HPS),hydropipesolutions.com,France,Construction & Engineering,104.4,26.9,"9,239,704","4,519,808",5,3,2020,https://fr.linkedin.com/company/hydro-pipe-solutions
617,I.CO.P. S.p.A. Società Benefit,icop.it,Italy,Construction & Engineering,134.1,32.8,"187,241,627","79,973,064",373,263,1973,https://www.linkedin.com/company/icop-spa-societa-benefit
46,Infisud,infisud.it,Italy,Construction & Engineering,1821.6,167.9,33284342,1732089,39,34,1983,https://do.linkedin.com/company/infisud-s.r.l.
188,ING2K,ing2k.com,France,Construction & Engineering,494.5,81.2,70620657,11878845,11,6,2016,
677,Ingenierie bois noroy (IBN),ingenierie-bois-noroy.fr,France,Construction & Engineering,117.7,29.6,"4,312,767","1,981,293",18,13,2013,
759,Iteco,iteco.fr,France,Construction & Engineering,101.2,26.2,"41,576,363","20,668,254",11,9,1981,
88,Jackson Remediation,jacksonremediation.co.uk,UK,Construction & Engineering,963.1,119.9,3734614,346648,7,4,2019,https://uk.linkedin.com/company/jackson-remediation
74,Kleidi,kleidi.fr,France,Construction & Engineering,1101.2,129,21935635,1826225,8,2,2019,
63,KMBS,kmbs-gmbh.de,Germany,Construction & Engineering,1342.2,143.4,6780455,470158,25,4,2021,
913,Koesea Gruppe,koesea-gruppe.com,Germany,Construction & Engineering,73.1,20.1,"4,500,000","2,600,000",62,26,2016,
901,Laqueste Et Alessi,pagesjaunes.fr,France,Construction & Engineering,74.9,20.5,"3,999,859","2,286,712",21,19,1955,
393,LG Industriebauservice,lg-industriebau.de,Germany,Construction & Engineering,237.8,50,"60,884,000","18,025,000",65,73,2010,
904,Luka Kältetechnik,luka.biz,Germany,Construction & Engineering,74.1,20.3,"5,966,057","3,427,524",29,26,2000,https://www.linkedin.com/company/luka-k%C3%A4lte--klimatechnik-gmbh
889,Macev,flo.uri.sh,France,Construction & Engineering,76.6,20.9,"6,180,000","3,500,000",20,20,1999,
971,Maison Roches,maisonroches.com,France,Construction & Engineering,63.7,17.9,"47,535,165","29,035,911",246,166,1936,https://www.linkedin.com/company/maisonroches
265,MK Augsburg,mk-color.de,Germany,Construction & Engineering,355.1,65.7,"14,455,383","3,176,632",105,33,2017,
602,Mühmel,elektro-muehmel.de,Germany,Construction & Engineering,141.4,34.2,"7,416,274","3,072,046",34,38,2011,
792,Münsterland Plus,muensterlandplus.de,Germany,Construction & Engineering,94.2,24.8,"8,100,000","4,170,236",63,55,2011,
714,Obel Natursteine,obel-natursteine.de,Germany,Construction & Engineering,108.2,27.7,"5,203,000","2,499,576",23,21,2010,https://www.linkedin.com/company/obel-natursteine-gmbh
788,OCM Exploitation,ocm-exploitation.com,France,Construction & Engineering,94.7,24.9,"5,718,041","2,936,678",20,14,2015,
987,Osinski,osinski-galabau.de,Germany,Construction & Engineering,61.5,17.3,"2,199,000","1,362,000",20,15,2012,
623,Ph Services,phs-sas.fr,France,Construction & Engineering,132.9,32.5,"2,536,163","1,089,201",15,10,2012,https://www.linkedin.com/company/ph-construction
893,Pillar Consulting,pillarconsulting.com,UK,Construction & Engineering,75.9,20.7,"3,103,066","1,741,086",14,8,2018,https://uk.linkedin.com/company/pillarconsulting
1000,Powertherm Contract Services,powertherm.co.uk,UK,Construction & Engineering,60,17,"37,856,352","23,351,425",293,233,1989,https://uk.linkedin.com/company/powerthermcs
